"","worktime","sector","sex","isced11","country","Year","Total"
"414","FT","PRIV","F","ED8","CH","2005",NA
"415","FT","PRIV","F","ED8","CY","2005",NA
"416","FT","PRIV","F","ED8","CZ","2005",NA
"417","FT","PRIV","F","ED8","DE","2005",NA
"418","FT","PRIV","F","ED8","DK","2005",NA
"419","FT","PRIV","F","ED8","EE","2005",NA
"420","FT","PRIV","F","ED8","EL","2005",NA
"421","FT","PRIV","F","ED8","ES","2005",NA
"424","FT","PRIV","F","ED8","FI","2005",NA
"425","FT","PRIV","F","ED8","FR","2005",NA
"426","FT","PRIV","F","ED8","HR","2005",NA
"427","FT","PRIV","F","ED8","HU","2005",NA
"428","FT","PRIV","F","ED8","IE","2005",NA
"429","FT","PRIV","F","ED8","IS","2005",NA
"430","FT","PRIV","F","ED8","IT","2005",NA
"431","FT","PRIV","F","ED8","LI","2005",NA
"432","FT","PRIV","F","ED8","LT","2005",NA
"433","FT","PRIV","F","ED8","LU","2005",NA
"434","FT","PRIV","F","ED8","LV","2005",NA
"435","FT","PRIV","F","ED8","ME","2005",NA
"436","FT","PRIV","F","ED8","MK","2005",NA
"437","FT","PRIV","F","ED8","MT","2005",NA
"438","FT","PRIV","F","ED8","NL","2005",NA
"439","FT","PRIV","F","ED8","NO","2005",NA
"440","FT","PRIV","F","ED8","PL","2005",NA
"441","FT","PRIV","F","ED8","PT","2005",NA
"442","FT","PRIV","F","ED8","RO","2005",NA
"443","FT","PRIV","F","ED8","RS","2005",NA
"444","FT","PRIV","F","ED8","SE","2005",NA
"445","FT","PRIV","F","ED8","SI","2005",NA
"446","FT","PRIV","F","ED8","SK","2005",NA
"447","FT","PRIV","F","ED8","TR","2005",NA
"448","FT","PRIV","F","ED8","UK","2005",NA
"449","FT","PRIV","M","ED5","AT","2005",NA
"450","FT","PRIV","M","ED5","BE","2005",NA
"451","FT","PRIV","M","ED5","BG","2005",NA
"452","FT","PRIV","M","ED5","CH","2005",NA
"453","FT","PRIV","M","ED5","CY","2005",NA
"454","FT","PRIV","M","ED5","CZ","2005",NA
"455","FT","PRIV","M","ED5","DE","2005",NA
"456","FT","PRIV","M","ED5","DK","2005",NA
"457","FT","PRIV","M","ED5","EE","2005",NA
"458","FT","PRIV","M","ED5","EL","2005",NA
"459","FT","PRIV","M","ED5","ES","2005",NA
"462","FT","PRIV","M","ED5","FI","2005",NA
"463","FT","PRIV","M","ED5","FR","2005",NA
"464","FT","PRIV","M","ED5","HR","2005",NA
"465","FT","PRIV","M","ED5","HU","2005",NA
"466","FT","PRIV","M","ED5","IE","2005",NA
"467","FT","PRIV","M","ED5","IS","2005",NA
"468","FT","PRIV","M","ED5","IT","2005",NA
"469","FT","PRIV","M","ED5","LI","2005",NA
"470","FT","PRIV","M","ED5","LT","2005",NA
"471","FT","PRIV","M","ED5","LU","2005",NA
"472","FT","PRIV","M","ED5","LV","2005",NA
"473","FT","PRIV","M","ED5","ME","2005",NA
"474","FT","PRIV","M","ED5","MK","2005",NA
"475","FT","PRIV","M","ED5","MT","2005",NA
"476","FT","PRIV","M","ED5","NL","2005",NA
"477","FT","PRIV","M","ED5","NO","2005",NA
"478","FT","PRIV","M","ED5","PL","2005",NA
"479","FT","PRIV","M","ED5","PT","2005",NA
"480","FT","PRIV","M","ED5","RO","2005",NA
"481","FT","PRIV","M","ED5","RS","2005",NA
"482","FT","PRIV","M","ED5","SE","2005",NA
"483","FT","PRIV","M","ED5","SI","2005",NA
"484","FT","PRIV","M","ED5","SK","2005",NA
"485","FT","PRIV","M","ED5","TR","2005",NA
"486","FT","PRIV","M","ED5","UK","2005",NA
"487","FT","PRIV","M","ED5-8","AT","2005",NA
"488","FT","PRIV","M","ED5-8","BE","2005",NA
"489","FT","PRIV","M","ED5-8","BG","2005",NA
"490","FT","PRIV","M","ED5-8","CH","2005",NA
"491","FT","PRIV","M","ED5-8","CY","2005",NA
"492","FT","PRIV","M","ED5-8","CZ","2005",NA
"493","FT","PRIV","M","ED5-8","DE","2005",NA
"494","FT","PRIV","M","ED5-8","DK","2005",NA
"495","FT","PRIV","M","ED5-8","EE","2005",NA
"496","FT","PRIV","M","ED5-8","EL","2005",NA
"497","FT","PRIV","M","ED5-8","ES","2005",NA
"500","FT","PRIV","M","ED5-8","FI","2005",NA
"501","FT","PRIV","M","ED5-8","FR","2005",NA
"502","FT","PRIV","M","ED5-8","HR","2005",NA
"503","FT","PRIV","M","ED5-8","HU","2005",NA
"504","FT","PRIV","M","ED5-8","IE","2005",NA
"505","FT","PRIV","M","ED5-8","IS","2005",NA
"506","FT","PRIV","M","ED5-8","IT","2005",NA
"507","FT","PRIV","M","ED5-8","LI","2005",NA
"508","FT","PRIV","M","ED5-8","LT","2005",NA
"509","FT","PRIV","M","ED5-8","LU","2005",NA
"510","FT","PRIV","M","ED5-8","LV","2005",NA
"511","FT","PRIV","M","ED5-8","ME","2005",NA
"512","FT","PRIV","M","ED5-8","MK","2005",NA
"513","FT","PRIV","M","ED5-8","MT","2005",NA
"514","FT","PRIV","M","ED5-8","NL","2005",NA
"515","FT","PRIV","M","ED5-8","NO","2005",NA
"516","FT","PRIV","M","ED5-8","PL","2005",NA
"517","FT","PRIV","M","ED5-8","PT","2005",NA
"518","FT","PRIV","M","ED5-8","RO","2005",NA
"519","FT","PRIV","M","ED5-8","RS","2005",NA
"520","FT","PRIV","M","ED5-8","SE","2005",NA
"521","FT","PRIV","M","ED5-8","SI","2005",NA
"522","FT","PRIV","M","ED5-8","SK","2005",NA
"523","FT","PRIV","M","ED5-8","TR","2005",NA
"524","FT","PRIV","M","ED5-8","UK","2005",NA
"525","FT","PRIV","M","ED54","AT","2005",NA
"526","FT","PRIV","M","ED54","BE","2005",NA
"527","FT","PRIV","M","ED54","BG","2005",NA
"528","FT","PRIV","M","ED54","CH","2005",NA
"529","FT","PRIV","M","ED54","CY","2005",NA
"530","FT","PRIV","M","ED54","CZ","2005",NA
"531","FT","PRIV","M","ED54","DE","2005",NA
"532","FT","PRIV","M","ED54","DK","2005",NA
"533","FT","PRIV","M","ED54","EE","2005",NA
"534","FT","PRIV","M","ED54","EL","2005",NA
"535","FT","PRIV","M","ED54","ES","2005",NA
"538","FT","PRIV","M","ED54","FI","2005",NA
"539","FT","PRIV","M","ED54","FR","2005",NA
"540","FT","PRIV","M","ED54","HR","2005",NA
"541","FT","PRIV","M","ED54","HU","2005",NA
"542","FT","PRIV","M","ED54","IE","2005",NA
"543","FT","PRIV","M","ED54","IS","2005",NA
"544","FT","PRIV","M","ED54","IT","2005",NA
"545","FT","PRIV","M","ED54","LI","2005",NA
"546","FT","PRIV","M","ED54","LT","2005",NA
"547","FT","PRIV","M","ED54","LU","2005",NA
